dataset,nodes,features,classes,directed,emb_features,n_heads,max_nodes,init_lr,train_frac,epochs,edge_h,aff_h,sep_learning,beta,metric_name,metric_value,elapsed,seed
CiteSeer,3327,844,6,FALSE,925,1,3327,0.001,0.8,2000,0.74,0.8461,FALSE,1,AUC,0.9396,348,13
CiteSeer,3327,844,6,FALSE,925,4,3327,0.001,0.8,2000,0.74,0.7921,FALSE,1,AUC,0.9696,617,13
CiteSeer,3327,844,6,FALSE,925,1,3327,0.001,0.8,2000,0.74,0.6898,TRUE,2.3278,AUC,0.9647,368,13
CiteSeer,3327,844,6,FALSE,925,4,3327,0.001,0.8,2000,0.74,0.5983,TRUE,2.435,AUC,0.9755,638,13
Cora,2708,554,7,FALSE,358,1,2708,0.001,0.8,2000,0.81,0.8876,FALSE,1,AUC,0.9122,208,13
Cora,2708,554,7,FALSE,358,4,2708,0.001,0.8,2000,0.81,0.8323,FALSE,1,AUC,0.9626,295,13
Cora,2708,554,7,FALSE,358,1,2708,0.001,0.8,2000,0.81,0.7998,TRUE,2.1566,AUC,0.9339,221,13
Cora,2708,554,7,FALSE,358,4,2708,0.001,0.8,2000,0.81,0.6897,TRUE,2.41,AUC,0.9667,311,13
ogbl-citation2,2927963,128,0,FALSE,128,1,4000,0.001,0.8,2000,0,0.5001,FALSE,1,MRR,0.8334,198,13
ogbl-citation2,2927963,128,0,FALSE,128,4,4000,0.001,0.8,2000,0,0.541,FALSE,1,MRR,0.8337,394,13
ogbl-citation2,2927963,128,0,FALSE,128,1,4000,0.001,0.8,2000,0,0.4903,TRUE,1.0328,MRR,0.8335,226,13
ogbl-citation2,2927963,128,0,FALSE,128,4,4000,0.001,0.8,2000,0,0.4975,TRUE,1.1426,MRR,0.8335,355,13
ogbl-collab,235868,128,0,FALSE,80,1,4000,0.001,0.8,1000,0,0.5371,FALSE,1,Hits@50,0.9266,477,13
ogbl-collab,235868,128,0,FALSE,80,4,4000,0.001,0.8,1000,0,0.5753,FALSE,1,Hits@50,0.945,161,13
ogbl-collab,235868,128,0,FALSE,80,1,4000,0.001,0.8,1000,0,0.4334,TRUE,1.3833,Hits@50,0.945,102,13
ogbl-collab,235868,128,0,FALSE,80,4,4000,0.001,0.8,1000,0,0.468,TRUE,1.421,Hits@50,0.945,190,13
ogbl-ppa,576289,58,0,FALSE,58,1,4000,0.001,0.8,1000,0,0.6137,FALSE,1,Hits@100,0.928,92,13
ogbl-ppa,576289,58,0,FALSE,58,4,4000,0.001,0.8,1000,0,0.6504,FALSE,1,Hits@100,0.9383,160,13
ogbl-ppa,576289,58,0,FALSE,58,1,4000,0.001,0.8,1000,0,0.4897,TRUE,1.6657,Hits@100,0.928,101,13
ogbl-ppa,576289,58,0,FALSE,58,4,4000,0.001,0.8,1000,0,0.5151,TRUE,1.7277,Hits@100,0.9383,1291,13
Texas,183,143,5,FALSE,425,1,183,0.01,0.8,2000,0.21,0.3392,FALSE,1,AUC,0.8507,53,13
Texas,183,143,5,FALSE,425,4,183,0.01,0.8,2000,0.21,0.5052,FALSE,1,AUC,0.9067,52,13
Texas,183,143,5,FALSE,425,1,183,0.01,0.8,2000,0.21,0.1334,TRUE,3.1726,AUC,0.821,57,13
Texas,183,143,5,FALSE,425,4,183,0.01,0.8,2000,0.21,0.2327,TRUE,8.2302,AUC,0.8831,57,13
Wisconsin,251,162,5,FALSE,425,1,251,0.01,0.8,2000,0.11,0.6233,FALSE,1,AUC,0.871,54,13
Wisconsin,251,162,5,FALSE,425,4,251,0.01,0.8,2000,0.11,0.6053,FALSE,1,AUC,0.9632,54,13
Wisconsin,251,162,5,FALSE,425,1,251,0.01,0.8,2000,0.11,0.517,TRUE,4.5121,AUC,0.7864,58,13
Wisconsin,251,162,5,FALSE,425,4,251,0.01,0.8,2000,0.11,0.2633,TRUE,7.3315,AUC,0.9386,57,13
Squirrel,5201,2089,5,FALSE,300,1,3000,0.001,0.8,2000,0.22,0.3697,FALSE,1.7101,AUC,0.9397,293,13
Squirrel,5201,2089,5,FALSE,300,4,3000,0.001,0.8,2000,0.22,0.2177,FALSE,1.7716,AUC,0.9496,383,13
Squirrel,5201,2089,5,FALSE,300,1,3000,0.001,0.8,2000,0.22,0.3698,TRUE,1.7089,AUC,0.9397,283,13
Squirrel,5201,2089,5,FALSE,300,4,3000,0.001,0.8,2000,0.22,0.2168,TRUE,1.7678,AUC,0.9492,389,13
Chameleon,2277,2325,5,FALSE,581,1,2277,0.01,0.8,1000,0.23,0.5382,FALSE,3.5352,AUC,0.9548,93,13
Chameleon,2277,2325,5,FALSE,581,4,2277,0.01,0.8,1000,0.23,0.5014,FALSE,4.1673,AUC,0.9673,132,13
Chameleon,2277,2325,5,FALSE,581,1,2277,0.01,0.8,1000,0.23,0.5385,TRUE,3.5369,AUC,0.9546,95,13
Chameleon,2277,2325,5,FALSE,581,4,2277,0.01,0.8,1000,0.23,0.5026,TRUE,4.1778,AUC,0.9676,132,13
Photo,7650,745,8,FALSE,186,1,4000,0.002,0.8,2000,0.83,0.7739,FALSE,3.1162,AUC,0.9496,420,13
Photo,7650,745,8,FALSE,186,4,4000,0.002,0.8,2000,0.83,0.7724,FALSE,3.2455,AUC,0.9551,604,13
Photo,7650,745,8,FALSE,186,1,4000,0.002,0.8,2000,0.83,0.774,TRUE,3.1146,AUC,0.9495,441,13
Photo,7650,745,8,FALSE,186,4,4000,0.002,0.8,2000,0.83,0.7717,TRUE,3.2609,AUC,0.9558,612,13
