dataset,nodes,features,classes,directed,emb_features,n_heads,max_nodes,init_lr,train_frac,epochs,edge_h,aff_h,min_beta,max_beta,metric_name,metric_value,metric_std,auc_value,auc_std,noise_std,noise_drop,elapsed,seed
Chameleon,2277,2325,5,FALSE,581,4,2277,0.01,0.8,1000,0.23,0.5012,4.1574,4.2194,Hits@100,0.3022,0.017,0.9685,0.0013,0,0,67.6,13
Chameleon,2277,2325,5,FALSE,581,4,2277,0.01,0.8,1000,0.23,0.4736,5.0667,5.0918,Hits@100,0.2703,0.0171,0.9808,0.001,0.05,0.05,60.2,13
Chameleon,2277,2325,5,FALSE,581,4,2277,0.01,0.8,1000,0.23,0.4722,5.0637,5.1002,Hits@100,0.2702,0.0052,0.9808,0.0012,0.1,0.05,54.2,13
Chameleon,2277,2325,5,FALSE,581,4,2277,0.01,0.8,1000,0.23,0.4748,5.0726,5.1094,Hits@100,0.2777,0.013,0.981,0.0012,0.15,0.05,64.8,13
Chameleon,2277,2325,5,FALSE,581,4,2277,0.01,0.8,1000,0.23,0.4738,5.0684,5.1123,Hits@100,0.2751,0.0176,0.981,0.001,0.2,0.05,54.2,13
CiteSeer,3327,3703,6,FALSE,925,4,3327,0.002,0.8,2000,0.74,0.6136,3.3076,3.3137,Hits@100,0.9198,0.0034,0.9592,0.0015,0,0,341.8,13
CiteSeer,3327,3703,6,FALSE,925,4,3327,0.002,0.8,2000,0.74,0.5277,3.3214,3.3269,Hits@100,0.9136,0.0073,0.9565,0.0034,0.05,0.05,344.4,13
CiteSeer,3327,3703,6,FALSE,925,4,3327,0.002,0.8,2000,0.74,0.5263,3.3199,3.3272,Hits@100,0.9139,0.0081,0.9562,0.0041,0.1,0.05,347.2,13
CiteSeer,3327,3703,6,FALSE,925,4,3327,0.002,0.8,2000,0.74,0.5263,3.3201,3.3272,Hits@100,0.9137,0.007,0.9569,0.0037,0.15,0.05,341.4,13
CiteSeer,3327,3703,6,FALSE,925,4,3327,0.002,0.8,2000,0.74,0.5267,3.3204,3.3283,Hits@100,0.9137,0.0073,0.9565,0.0036,0.2,0.05,349.4,13
Cora,2708,1433,7,FALSE,358,4,2708,0.002,0.8,2000,0.81,0.6348,3.5027,3.5129,Hits@100,0.9124,0.0059,0.9711,0.0024,0,0,156,13
Cora,2708,1433,7,FALSE,358,4,2708,0.002,0.8,2000,0.81,0.5133,3.4285,3.4508,Hits@100,0.8995,0.0042,0.9595,0.0016,0.05,0.05,154.6,13
Cora,2708,1433,7,FALSE,358,4,2708,0.002,0.8,2000,0.81,0.4731,3.4301,3.4631,Hits@100,0.9001,0.0072,0.9595,0.0019,0.1,0.05,117.4,13
Cora,2708,1433,7,FALSE,358,4,2708,0.002,0.8,2000,0.81,0.4646,3.4407,3.4616,Hits@100,0.9009,0.011,0.9589,0.0023,0.15,0.05,155.6,13
Cora,2708,1433,7,FALSE,358,4,2708,0.002,0.8,2000,0.81,0.4613,3.4446,3.4567,Hits@100,0.9014,0.0116,0.959,0.0028,0.2,0.05,117.2,13
ogbl-citation2,2927963,128,0,FALSE,128,4,4000,0.0001,0.8,2000,0,0.5073,1.1117,1.1171,MRR,0.9485,0.0329,0.9346,0.0389,0,0,441.4,13
ogbl-citation2,2927963,128,0,FALSE,128,4,4000,0.0001,0.8,2000,0,0.5069,1.113,1.1167,MRR,0.9564,0.0276,0.924,0.0447,0.05,0.05,468.6,13
ogbl-citation2,2927963,128,0,FALSE,128,4,4000,0.0001,0.8,2000,0,0.5065,1.114,1.117,MRR,0.9525,0.0252,0.93,0.0376,0.1,0.05,468.4,13
ogbl-citation2,2927963,128,0,FALSE,128,4,4000,0.0001,0.8,2000,0,0.5065,1.1142,1.1172,MRR,0.9536,0.0168,0.9254,0.0238,0.15,0.05,440.6,13
ogbl-citation2,2927963,128,0,FALSE,128,4,4000,0.0001,0.8,2000,0,0.5064,1.1142,1.1173,MRR,0.9536,0.0168,0.9194,0.0216,0.2,0.05,468.6,13
ogbl-collab,235868,128,0,FALSE,80,4,4000,0.001,0.8,1000,0,0.468,1.3975,1.4631,Hits@50,0.9201,0.0249,0.9233,0.0168,0,0,220.8,13
ogbl-collab,235868,128,0,FALSE,80,4,4000,0.001,0.8,1000,0,0.448,1.3474,1.4281,Hits@50,0.8943,0.0206,0.9091,0.021,0.05,0.05,217.2,13
ogbl-collab,235868,128,0,FALSE,80,4,4000,0.001,0.8,1000,0,0.4435,1.3485,1.4183,Hits@50,0.8834,0.0327,0.899,0.0227,0.1,0.05,227,13
ogbl-collab,235868,128,0,FALSE,80,4,4000,0.001,0.8,1000,0,0.4414,1.3464,1.4186,Hits@50,0.8909,0.0414,0.9031,0.0246,0.15,0.05,220.8,13
ogbl-collab,235868,128,0,FALSE,80,4,4000,0.001,0.8,1000,0,0.4412,1.343,1.4163,Hits@50,0.9044,0.0311,0.9074,0.0231,0.2,0.05,217.6,13
ogbl-ppa,576289,58,0,FALSE,58,4,4000,0.001,0.8,1000,0,0.5064,1.7265,1.7383,Hits@100,0.9307,0.0161,0.9516,0.011,0,0,216.6,13
ogbl-ppa,576289,58,0,FALSE,58,4,4000,0.001,0.8,1000,0,0.3927,1.6808,1.6907,Hits@100,0.9057,0.0183,0.9372,0.0148,0.05,0.05,220,13
ogbl-ppa,576289,58,0,FALSE,58,4,4000,0.001,0.8,1000,0,0.3927,1.6808,1.6907,Hits@100,0.9057,0.0183,0.9372,0.0148,0.1,0.05,219.2,13
ogbl-ppa,576289,58,0,FALSE,58,4,4000,0.001,0.8,1000,0,0.3927,1.6808,1.6907,Hits@100,0.9057,0.0183,0.9372,0.0148,0.15,0.05,217.8,13
ogbl-ppa,576289,58,0,FALSE,58,4,4000,0.001,0.8,1000,0,0.3927,1.6808,1.6907,Hits@100,0.9057,0.0183,0.9372,0.0148,0.2,0.05,216.8,13
Photo,7650,745,8,FALSE,186,4,4000,0.002,0.8,2000,0.83,0.772,3.2505,3.2874,Hits@100,0.2471,0.0269,0.958,0.0019,0,0,434.6,13
Photo,7650,745,8,FALSE,186,4,4000,0.002,0.8,2000,0.83,0.5682,3.0907,3.1158,Hits@100,0.2227,0.0118,0.898,0.0026,0.05,0.05,538.2,13
