dataset,nodes,features,classes,directed,emb_features,n_heads,max_nodes,init_lr,train_frac,epochs,edge_h,aff_h,min_beta,max_beta,metric_name,metric_value,metric_std,elapsed,seed
ogbl-ppa,576289,58,0,False,58,4,4000,0.0010,0.8000,1000,0.0000,0.8543,1.8241,1.8299,Hits@100,0.2158,0.0439,143.4000,13
ogbl-collab,235868,128,0,False,80,4,4000,0.0010,0.8000,1000,0.0000,0.8258,1.7420,1.7583,Hits@50,0.4300,0.0536,133.4000,13
ogbl-citation2,2927963,128,0,False,128,4,4000,0.0001,0.8000,2000,0.0000,0.7778,1.0929,1.0947,MRR,0.6509,0.2380,278.0000,13
ogbl-collab,235868,128,0,False,80,4,4000,0.0010,0.8000,1000,0.0000,0.8051,1.7274,1.7322,Hits@50,0.3581,0.0319,134.0000,13
ogbl-citation2,2927963,128,0,False,128,4,4000,0.0001,0.8000,2000,0.0000,0.7603,1.0920,1.0934,MRR,0.4655,0.2771,279.0000,13
ogbl-collab,235868,128,0,False,80,4,4000,0.0010,0.8000,1000,0.0000,0.8204,1.7490,1.7511,Hits@50,1.0000,0.0000,131.3333,13
ogbl-collab,235868,128,0,False,80,4,4000,0.0010,0.8000,1000,0.0000,0.8357,1.7400,1.7400,Hits@50,0.4200,0.1000,111.0000,13
ogbl-collab,235868,128,0,False,80,4,4000,0.0010,0.8000,1000,0.0000,0.8357,1.7395,1.7423,Hits@50,0.4240,0.1060,130.3333,13
ogbl-citation2,2927963,128,0,False,128,4,4000,0.0001,0.8000,2000,0.0000,0.7881,1.0875,1.0916,MRR,1.0000,0.0000,275.0000,13
ogbl-ppa,576289,58,0,False,58,4,4000,0.0010,0.8000,1000,0.0000,0.8713,1.8128,1.8219,Hits@100,0.0266,0.0081,128.0000,13
